UF;YEAR;MONTH;RAIN;DENGUE
CE;2015;11;11.8;0.0
CE;2015;12;282.2;0.0
CE;2019;12;345.4;0.0
CE;2015;09;66.6;0.0
CE;2015;06;577.8;0.0
CE;2015;05;843.4;0.0
CE;2018;09;24.0;0.0
CE;2018;10;86.0;0.0
CE;2016;10;18.6;0.0
CE;2016;12;342.8;0.0
CE;2016;03;1536.8;0.0
CE;2016;07;33.2;0.0
CE;2017;01;770.8;0.0
CE;2017;07;465.4;0.0
CE;2017;10;101.4;0.0
CE;2018;05;811.0;0.0
CE;2018;06;174.6;0.0
CE;2019;11;117.8;0.0
CE;2018;04;2000.2;0.0
CE;2017;09;19.6;0.0
CE;2018;07;363.2;0.0
CE;2017;03;2356.6;0.0
CE;2017;06;444.8;0.0
CE;2019;09;56.6;0.0
CE;2015;10;19.0;0.0
CE;2017;08;84.2;0.0
CE;2016;08;25.2;0.0
CE;2016;09;35.8;0.0
CE;2016;11;13.4;0.0
CE;2019;04;1694.0;0.0
CE;2019;05;1140.2;0.0
CE;2019;06;539.6;0.0
CE;2019;07;345.0;0.0
CE;2019;03;2284.8;0.0
CE;2017;12;312.0;0.0
CE;2018;12;1381.6;0.0
CE;2019;10;64.2;0.0
CE;2015;03;2734.0;0.0
CE;2016;05;656.4;0.0
CE;2016;06;249.2;0.0
CE;2015;01;504.0;0.0
CE;2015;02;1497.4;0.0
CE;2015;04;1973.0;0.0
CE;2015;07;716.6;0.0
CE;2015;08;35.6;0.0
CE;2016;01;1772.4;0.0
CE;2016;02;558.6;0.0
CE;2016;04;1162.0;0.0
CE;2017;02;1694.6;0.0
CE;2017;04;1782.4;0.0
CE;2017;05;1131.6;0.0
CE;2017;11;140.8;0.0
CE;2018;01;759.6;0.0
CE;2018;02;1983.0;0.0
CE;2018;03;1542.0;0.0
CE;2018;08;132.4;0.0
CE;2018;11;317.8;0.0
CE;2019;01;1209.6;0.0
CE;2019;02;1844.0;0.0
CE;2019;08;66.8;0.0
MG;2015;01;3511.4;0.0
MG;2015;02;8882.4;0.0
MG;2015;03;8544.2;0.0
MG;2015;04;3813.0;0.0
MG;2015;05;2958.4;0.0
MG;2015;06;841.2;0.0
MG;2015;07;486.4;0.0
MG;2015;08;479.8;0.0
MG;2015;09;2978.2;0.0
MG;2015;10;3052.4;0.0
MG;2015;11;9413.4;0.0
MG;2015;12;8446.6;0.0
MG;2016;01;19926.0;0.0
MG;2016;02;5036.4;0.0
MG;2016;03;5847.4;0.0
MG;2016;04;1334.0;0.0
MG;2016;05;1127.2;0.0
MG;2016;06;2070.4;0.0
MG;2016;07;217.4;0.0
MG;2016;08;710.4;0.0
MG;2016;09;1797.0;0.0
MG;2016;10;4834.0;0.0
MG;2016;11;13838.6;0.0
